,m,l,P,r,T,rho,epsilon,adiabatic temperature gradient,actual temperature gradient,radiative
1111,0.5555555555555556,1.0019788722976761,1.6753219511008288,0.2634205211212827,0.5361609190989671,3.1246625619716046,0.11221582100366997,0.4,0.223070700708817,True
1112,0.5560560560560561,1.002034889673764,1.6707309533700845,0.26360428033007655,0.5358328631973284,3.1180076253643536,0.11162995481112979,0.4,0.22300756733869864,True
1113,0.5565565565565566,1.0020906144716644,1.6661486213594114,0.26378817527458487,0.5355048202283398,3.111360642186123,0.11104664691832605,0.4,0.22294440537423682,True
1114,0.557057057057057,1.0021460479670974,1.6615749429614817,0.263972206411408,0.5351767899072847,3.1047216065729177,0.1104658879656317,0.4,0.22288121455700122,True
1115,0.5575575575575575,1.0022011914314544,1.6570099060917929,0.26415637419862614,0.5348487719495644,3.0980905126730796,0.10988766862388061,0.4,0.22281799462611568,True
1116,0.5580580580580581,1.0022560461318104,1.6524534986885997,0.26434067909580755,0.5345207660706996,3.0914673546472358,0.10931197959426761,0.4,0.2227547453182383,True
1117,0.5585585585585586,1.0023106133309396,1.6479057087128393,0.2645251215640172,0.5341927719863307,3.0848521266682485,0.10873881160824647,0.4,0.22269146636754594,True
1118,0.5590590590590591,1.0023648942873282,1.643366524148061,0.26470970206582467,0.5338647894122185,3.078244822921168,0.10816815542742891,0.4,0.22262815750572065,True
1119,0.5595595595595595,1.0024188902551883,1.6388359330003532,0.26489442106531313,0.5335368180642449,3.071645437603175,0.10760000184348138,0.4,0.22256481846192744,True
1120,0.56006006006006,1.0024726024844728,1.6343139232982729,0.2650792790280872,0.533208857658414,3.0650539649235395,0.10703434167802636,0.4,0.22250144896280385,True
1121,0.5605605605605606,1.002526032220888,1.6298004830927766,0.2652642764212813,0.5328809079108524,3.058470399103568,0.10647116578254101,0.4,0.22243804873244075,True
1122,0.5610610610610611,1.0025791807059083,1.6252956004571462,0.26544941371356817,0.5325529685378108,3.051894734376552,0.1059104650382581,0.4,0.22237461749236448,True
1123,0.5615615615615616,1.0026320491767902,1.620799263486919,0.2656346913751671,0.5322250392556634,3.045326964987719,0.10535223035606514,0.4,0.22231115496152226,True
1124,0.562062062062062,1.0026846388665858,1.6163114602998139,0.26582010987785243,0.5318971197809099,3.0387670851941775,0.1047964526764055,0.4,0.22224766085626305,True
1125,0.5625625625625625,1.0027369510041566,1.6118321790356618,0.26600566969496175,0.5315692098301755,3.0322150892648696,0.10424312296917947,0.4,0.22218413489032163,True
1126,0.5630630630630631,1.0027889866796855,1.6073614085470105,0.26619137122073727,0.5312413091129607,3.0256709728219353,0.10369223227338785,0.4,0.22212057690259807,True
1127,0.5635635635635636,1.002840747352226,1.6028991357928373,0.2663772150747253,0.5309134173590043,3.019134727779831,0.10314377154695963,0.4,0.22205698637532872,True
1128,0.5640640640640641,1.002892234135529,1.5984453495058573,0.2665632016734555,0.5305855342797806,3.0126063494655857,0.10259773187796986,0.4,0.22199336311153517,True
1129,0.5645645645645645,1.00294344823654,1.5940000379408181,0.26674933149342717,0.53025765959214,3.0060858322478174,0.10205410435472052,0.4,0.22192970681937838,True
1130,0.565065065065065,1.0029943908580494,1.5895631893744002,0.2669356050127236,0.5299297930130605,2.999573170507181,0.1015128800944772,0.4,0.2218660172044056,True
1131,0.5655655655655656,1.0030450631986918,1.5851347921052197,0.26712202271101243,0.5296019342596476,2.9930683586364633,0.10097405024337602,0.4,0.22180229396954573,True
1132,0.5660660660660661,1.0030954664529461,1.580714834453824,0.26730858506954513,0.5292740830491348,2.9865713910406595,0.10043760597633149,0.4,0.2217385368151039,True
1133,0.5665665665665666,1.0031456018111362,1.5763033047626953,0.26749529257115773,0.5289462390988828,2.980082262137072,0.0999035384969433,0.4,0.2216747454387603,True
1134,0.567067067067067,1.0031954704594301,1.5719001913962463,0.26768214570027005,0.5286184021263802,2.9736009663553897,0.0993718390374051,0.4,0.22161091953556433,True
1135,0.5675675675675675,1.0032450735798404,1.567505482740823,0.2678691449428865,0.528290571849243,2.967127498137783,0.0988424988584132,0.4,0.2215470587979335,True
1136,0.5680680680680681,1.003294412350224,1.563119167204707,0.26805629078659526,0.5279627479852151,2.960661851938993,0.09831550924907362,0.4,0.2214831629156474,True
1137,0.5685685685685686,1.003343487944283,1.5587412332181105,0.26824358372056883,0.5276349302521678,2.9542040222264196,0.09779086152681263,0.4,0.22141923157584695,True
1138,0.5690690690690691,1.0033923015315631,1.5543716692331817,0.26843102423556386,0.5273071183681002,2.9477540034802128,0.09726854703728466,0.4,0.221355264463028,True
